date,GLAD_year,ADMIN_NAME,PCODE,NDVI_mean,NDVI_median,NDVI_mode,EVI_mean,EVI_median,EVI_mode
21-03-00,2003,Kasama,ZM2011A20703,0.695532795,0.700014286,0.700014286,0.40385084,0.400957143,0.44831
21-03-00,2003,Luwingu,ZM2011A20704,0.768476155,0.7494,0.6957,0.47136857,0.4606,0.3457
21-03-00,2003,Mungwi,ZM2011A20707,0.671188917,0.6745,0.646716667,0.409215738,0.4173,0.377875
21-03-00,2003,Mpulungu,ZM2011A20708,0.690101868,0.69685,0.649542857,0.411514025,0.405666667,0.41126
21-03-00,2003,Mbala,ZM2011A20713,0.701456157,0.708933333,0.704795,0.389396795,0.38575,0.379541667
21-03-00,2003,Mporokoso,ZM2011A20714,0.613294737,0.6469,0.7597,0.351942105,0.3543,0.4263
21-03-00,2003,Chavuma,ZM2011A20801,0.550455908,0.553757143,0.553757143,0.352110017,0.356,0.34632
21-03-00,2003,Ikelenge,ZM2011A20802,0.671258078,0.6688,0.5551,0.424219,0.4281,0.3158
21-03-00,2003,Kasempa,ZM2011A20804,0.723563523,0.748071429,0.763557577,0.440178364,0.450311111,0.460073333
21-03-00,2003,Mufumbwe,ZM2011A20806,0.695884001,0.702751119,0.7135125,0.429147923,0.430733333,0.45229
21-03-00,2003,Mwinilunga,ZM2011A20808,0.753445585,0.7565,0.7565,0.48123793,0.47,0.3899
21-03-00,2003,Solwezi,ZM2011A20810,0.69622819,0.724681412,0.771172727,0.430095247,0.438741998,0.46377674
21-03-00,2003,Zambezi,ZM2011A20811,0.65527836,0.6525,0.543566667,0.374095271,0.374277778,0.370133333
21-03-00,2003,Kabompo,ZM2011A20814,0.678190624,0.674688889,0.649675,0.397945265,0.397383333,0.405358313
21-03-00,2003,Choma,ZM2011A20902,0.59483547,0.615090891,0.658165591,0.384254318,0.388752414,0.353412624
21-03-00,2003,Gwembe,ZM2011A20903,0.623610439,0.623231579,0.634791429,0.370817791,0.371842857,0.389639764
21-03-00,2003,Kazungula,ZM2011A20905,0.605586454,0.604593939,0.612289583,0.359527958,0.354604225,0.350695687
21-03-00,2003,Livingstone,ZM2011A20906,0.56056944,0.5509,0.5258,0.328570674,0.3268,0.3128625
21-03-00,2003,Monze,ZM2011A20908,0.637578203,0.666176348,0.712844495,0.417582303,0.43546362,0.43546362
21-03-00,2003,Namwala,ZM2011A20909,0.60332596,0.623071699,0.626641958,0.386511646,0.39364134,0.411244305
21-03-00,2003,Itezhi-Tezhi,ZM2011A20910,0.653853306,0.6645,0.692525928,0.418043092,0.418866667,0.364766667
21-03-00,2003,Siavonga,ZM2011A20911,0.60683746,0.615690799,0.626945074,0.370661764,0.36980118,0.354185124
21-03-00,2003,Sinazongwe,ZM2011A20912,0.663441036,0.669564,0.693505693,0.413694136,0.412134211,0.400377778
21-03-00,2003,Kalomo,ZM2011A20916,0.618971296,0.623081873,0.619055293,0.384468119,0.377033347,0.377033347
21-03-00,2003,Mazabuka,ZM2011A20917,0.69837406,0.700988889,0.697154638,0.450684695,0.439420323,0.416126718
21-03-00,2003,Kalabo,ZM2011A21001,0.590414634,0.595033333,0.570766667,0.356938114,0.3685,0.294266667
21-03-00,2003,Mongu,ZM2011A21007,0.59918799,0.6273,0.5329,0.324539948,0.3575,0.1909
21-03-00,2003,Senanga,ZM2011A21012,0.646689849,0.6574,0.692108333,0.377328423,0.38978,0.38572
21-03-00,2003,Shangombo,ZM2011A21014,0.646996631,0.6478,0.653046154,0.40922172,0.417025,0.421103919
21-03-00,2003,Kaoma,ZM2011A21018,0.619213519,0.620288889,0.567154167,0.384409522,0.383765789,0.383765789
21-03-00,2003,Lukulu,ZM2011A21019,0.671728072,0.6808,0.660975,0.401178205,0.40484,0.40484
21-03-00,2003,Sesheke,ZM2011A21020,0.625706729,0.630044444,0.645769231,0.383333507,0.383766667,0.3680375
06-04-00,2003,Chibombo,ZM2011A20101,0.60914123,0.611370442,0.58022149,0.357204699,0.350603204,0.327068122
06-04-00,2003,Kabwe,ZM2011A20105,0.587638597,0.587508696,0.560522991,0.329599647,0.327049192,0.32332963
06-04-00,2003,Kapiri Mposhi,ZM2011A20106,0.624591018,0.630808487,0.634683845,0.364705795,0.366154239,0.385673333
06-04-00,2003,Mkushi,ZM2011A20110,0.609700163,0.622841176,0.642460434,0.346116327,0.346725581,0.334938712
06-04-00,2003,Serenje,ZM2011A20111,0.632906863,0.650638889,0.662126316,0.38084085,0.386822222,0.42875
06-04-00,2003,Mumbwa,ZM2011A20113,0.685406787,0.692467797,0.688454947,0.43357616,0.436418363,0.430593243
06-04-00,2003,Chililabombwe,ZM2011A20201,0.647701991,0.651208845,0.662976428,0.374321253,0.370044444,0.37214499
06-04-00,2003,Chingola,ZM2011A20202,0.647677944,0.660942857,0.663152977,0.369270081,0.376149215,0.389462479
06-04-00,2003,Kalulushi,ZM2011A20203,0.665439291,0.663048278,0.651456882,0.371210933,0.368266672,0.360291784
06-04-00,2003,Kitwe,ZM2011A20204,0.613312019,0.6122,0.5808,0.355226027,0.350514286,0.34264669
06-04-00,2003,Luanshya,ZM2011A20205,0.671733245,0.677487708,0.697136866,0.374116604,0.375750657,0.385604768
